Microsoft (R) COFF/PE Dumper Version 14.16.27030.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    C00F8A30 time date stamp
        0.00 version
           8 ordinal base
        2379 number of functions
        2378 number of names

    ordinal hint RVA      name

          9    0 0000C460 A_SHAFinal
         10    1 0000C590 A_SHAInit
         11    2 0000C5D0 A_SHAUpdate
         12    3 000DFC40 AlpcAdjustCompletionListConcurrencyCount
         13    4 0006BEF0 AlpcFreeCompletionListMessage
         14    5 000DFC70 AlpcGetCompletionListLastMessageInformation
         15    6 000DFC90 AlpcGetCompletionListMessageAttributes
         16    7 0006E770 AlpcGetHeaderSize
         17    8 0006E730 AlpcGetMessageAttribute
         18    9 00031E00 AlpcGetMessageFromCompletionList
         19    A 00084A40 AlpcGetOutstandingCompletionListMessageCount
         20    B 0006E6D0 AlpcInitializeMessageAttribute
         21    C 00083560 AlpcMaxAllowedMessageLength
         22    D 000848B0 AlpcRegisterCompletionList
         23    E 0006F600 AlpcRegisterCompletionListWorkerThread
         24    F 00084A00 AlpcRundownCompletionList
         25   10 00084A20 AlpcUnregisterCompletionList
         26   11 0006F5A0 AlpcUnregisterCompletionListWorkerThread
         27   12 000749D0 ApiSetQueryApiSetPresence
         28   13 000D5940 ApiSetQueryApiSetPresenceEx
         29   14 0004BB50 CsrAllocateCaptureBuffer
         30   15 0004BB10 CsrAllocateMessagePointer
         31   16 0004BC20 CsrCaptureMessageBuffer
         32   17 0004B950 CsrCaptureMessageMultiUnicodeStringsInPlace
         33   18 0004BA60 CsrCaptureMessageString
         34   19 000CC100 CsrCaptureTimeout
         35   1A 0004B7D0 CsrClientCallServer
         36   1B 0004B510 CsrClientConnectToServer
         37   1C 0004B7A0 CsrFreeCaptureBuffer
         38   1D 000CC120 CsrGetProcessId
         39   1E 000822C0 CsrIdentifyAlertableThread
         40   1F 000D5970 CsrSetPriorityClass
         41   20 000CC140 CsrVerifyRegion
         42   21 0009FA70 DbgBreakPoint
         43   22 00053740 DbgPrint
         44   23 00052110 DbgPrintEx
         45   24 000DFCD0 DbgPrintReturnControlC
         46   25 000DFD20 DbgPrompt
         47   26 000DFD60 DbgQueryDebugFilterState
         48   27 000DFD70 DbgSetDebugFilterState
         49   28 000CD030 DbgUiConnectToDbg
         50   29 000CD0A0 DbgUiContinue
         51   2A 000CD0D0 DbgUiConvertStateChangeStructure
         52   2B 000CD0E0 DbgUiConvertStateChangeStructureEx
         53   2C 000CD390 DbgUiDebugActiveProcess
         54   2D 000CD400 DbgUiGetThreadDebugObject
         55   2E 000CD420 DbgUiIssueRemoteBreakin
         56   2F 000CD490 DbgUiRemoteBreakin
         57   30 000CD4F0 DbgUiSetThreadDebugObject
         58   31 000CD510 DbgUiStopDebugging
         59   32 000CD530 DbgUiWaitStateChange
         60   33 0009FA80 DbgUserBreakPoint
         61   34 000846E0 EtwCheckCoverage
         62   35 0010D040 EtwCreateTraceInstanceId
         63   36 00007FD0 EtwDeliverDataBlock
         64   37 0010CC20 EtwEnumerateProcessRegGuids
         65   38 00065B30 EtwEventActivityIdControl
         66   39 00053BF0 EtwEventEnabled
         67   3A 00071920 EtwEventProviderEnabled
         68   3B 0000A640 EtwEventRegister
         69   3C 0000A3E0 EtwEventSetInformation
         70   3D 00053130 EtwEventUnregister
         71   3E 00052640 EtwEventWrite
         72   3F 00051360 EtwEventWriteEndScenario
